Country,Question,Very important,Somewhat important,Not very important,Not at all important,DK/Refused
United States,Birth,32,23,23,21,1
Canada,Birth,21,22,27,28,1
France,Birth,25,22,31,20,1
Germany,Birth,13,21,41,23,1
Greece,Birth,50,27,17,6,0
Hungary,Birth,52,29,12,5,1
Italy,Birth,42,37,16,5,1
Netherlands,Birth,16,26,30,27,1
Poland,Birth,42,38,16,3,1
Spain,Birth,34,24,23,19,1
Sweden,Birth,8,12,34,45,1
United Kingdom,Birth,32,24,24,18,1
Australia,Birth,13,18,30,39,0
Japan,Birth,50,27,14,8,1
United States,Language,70,22,5,3,0
Canada,Language,59,29,7,5,0
France,Language,77,20,2,0,1
Germany,Language,79,19,1,1,0
Greece,Language,76,19,4,1,0
Hungary,Language,81,15,3,1,1
Italy,Language,59,35,4,1,0
Netherlands,Language,84,14,1,0,1
Poland,Language,67,29,3,0,0
Spain,Language,62,32,4,2,1
Sweden,Language,66,27,5,2,0
United Kingdom,Language,81,17,2,1,0
Australia,Language,69,25,4,2,0
Japan,Language,70,22,5,2,1
United States,Religion,32,19,17,31,1
Canada,Religion,15,19,19,45,2
France,Religion,10,13,30,45,2
Germany,Religion,11,19,38,30,1
Greece,Religion,54,24,13,9,0
Hungary,Religion,29,37,22,11,1
Italy,Religion,30,36,20,11,2
Netherlands,Religion,8,16,24,52,1
Poland,Religion,34,37,19,9,1
Spain,Religion,9,10,21,57,2
Sweden,Religion,7,10,27,57,0
United Kingdom,Religion,18,19,24,38,1
Australia,Religion,13,16,23,48,1
United States,Customs,45,39,9,6,1
Canada,Customs,54,36,5,3,2
France,Customs,45,38,12,4,1
Germany,Customs,29,44,23,3,1
Greece,Customs,66,27,6,1,0
Hungary,Customs,68,26,5,1,0
Italy,Customs,50,38,8,2,1
Netherlands,Customs,37,46,11,5,0
Poland,Customs,56,39,4,0,1
Spain,Customs,44,33,15,7,2
Sweden,Customs,26,38,25,11,0
United Kingdom,Customs,54,33,7,5,1
Australia,Customs,50,39,7,4,1
Japan,Customs,43,47,8,1,0